filename,caption
daisy\14163875973_467224aaf5_m.jpg,"a bunch of daies, a type of daisy"
daisy\14167534527_781ceb1b7a_n.jpg,"a white flower, a type of daisy"
daisy\14167543177_cd36b54ac6_n.jpg,"a close up of a white flower with yellow center, a type of daisy"
daisy\14219214466_3ca6104eae_m.jpg,"a white flower with yellow center, a type of daisy"
daisy\14221836990_90374e6b34.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\14221848160_7f0a37c395.jpg,"a field of dai daies, a type of daisy"
daisy\14245834619_153624f836.jpg,"black and white flowers, a type of daisy"
daisy\14264136211_9531fbc144.jpg,"a single flower on a purple background, a type of daisy"
daisy\14272874304_47c0a46f5a.jpg,"two white flowers, a type of daisy"
daisy\14307766919_fac3c37a6b_m.jpg,"a white flower in a vase, a type of daisy"
daisy\14330343061_99478302d4_m.jpg,"a bunch of flowers, a type of daisy"
daisy\14332947164_9b13513c71_m.jpg,"a plant with yellow flowers, a type of daisy"
daisy\14333681205_a07c9f1752_m.jpg,"a bee on a flower, a type of daisy"
daisy\14350958832_29bdd3a254.jpg,"a vase of white flowers, a type of daisy"
daisy\14354051035_1037b30421_n.jpg,"a person ' s hand holding a white flower, a type of daisy"
daisy\14372713423_61e2daae88.jpg,"a bunch of white flowers sitting on top of a table, a type of daisy"
daisy\14399435971_ea5868c792.jpg,"a bunch of white flowers, a type of daisy"
daisy\14402451388_56545a374a_n.jpg,"a bee on a flower in the wild, a type of daisy"
daisy\14421389519_d5fd353eb4.jpg,"a fly on a flower, a type of daisy"
daisy\14471433500_cdaa22e3ea_m.jpg,"a field of white daies, a type of daisy"
daisy\14485782498_fb342ec301.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\14507818175_05219b051c_m.jpg,"a field of daies, a type of daisy"
daisy\14523675369_97c31d0b5b.jpg,"a white flower, a type of daisy"
daisy\14551098743_2842e7a004_n.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\14554906452_35f066ffe9_n.jpg,"a bunch of flowers, a type of daisy"
daisy\14564545365_1f1d267bf1_n.jpg,"a white flower with a bug on it, a type of daisy"
daisy\14569895116_32f0dcb0f9.jpg,"white flowers with yellow centers, a type of daisy"
daisy\14591326135_930703dbed_m.jpg,"a picture of a flower, a type of daisy"
daisy\14600779226_7bbc288d40_m.jpg,"a field of flowers, a type of daisy"
daisy\14613443462_d4ed356201.jpg,"a white flower with yellow center, a type of daisy"
daisy\14621687774_ec52811acd_n.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\14674743211_f68b13f6d9.jpg,"a bunch of flowers, a type of daisy"
daisy\14698531521_0c2f0c6539.jpg,"a bunch of white flowers, a type of daisy"
daisy\14707111433_cce08ee007.jpg,"white flowers in a vase, a type of daisy"
daisy\14716799982_ed6d626a66.jpg,"a single white flower, a type of daisy"
daisy\14816364517_2423021484_m.jpg,"a white flower in the grass, a type of daisy"
daisy\14866200659_6462c723cb_m.jpg,"a white flower in the grass, a type of daisy"
daisy\14907815010_bff495449f.jpg,"a bunch of white flowers, a type of daisy"
daisy\14921511479_7b0a647795.jpg,"a single daisy in a field of grass, a type of daisy"
daisy\15029936576_8d6f96c72c_n.jpg,"a white flower with yellow center, a type of daisy"
daisy\15306268004_4680ba95e1.jpg,"a bunch of white flowers with yellow centers, a type of daisy"
daisy\15327813273_06cdf42210.jpg,"a bunch of white flowers with yellow centers, a type of daisy"
daisy\15760153042_a2a90e9da5_m.jpg,"a single flower growing out of a rock, a type of daisy"
daisy\15760811380_4d686c892b_n.jpg,"a white flower in a field, a type of daisy"
daisy\15784493690_b1858cdb2b_n.jpg,"a white flower with a bee on it, a type of daisy"
daisy\15813862117_dedcd1c56f_m.jpg,"a vase of flowers on a table, a type of daisy"
daisy\15853110333_229c439e7f.jpg,"a white and yellow flower sitting on top of a green leaf, a type of daisy"
daisy\16020253176_60f2a6a5ca_n.jpg,"a white flower with water droplets on it, a type of daisy"
daisy\16025261368_911703a536_n.jpg,"a bunch of white flowers, a type of daisy"
daisy\16121105382_b96251e506_m.jpg,"a field of white flowers, a type of daisy"
daisy\16161045294_70c76ce846_n.jpg,"a bunch of white flowers, a type of daisy"
daisy\16291797949_a1b1b7c2bd_n.jpg,"a close up of a white flower with yellow center, a type of daisy"
daisy\16360180712_b72695928c_n.jpg,"a white flower in a field of green grass, a type of daisy"
daisy\16401288243_36112bd52f_m.jpg,"a field of flowers, a type of daisy"
daisy\16482676953_5296227d40_n.jpg,"a white flower with a bug on it, a type of daisy"
daisy\16492248512_61a57dfec1_m.jpg,"a white flower with a bee on it, a type of daisy"
daisy\16527403771_2391f137c4_n.jpg,"a bee on a flower, a type of daisy"
daisy\16737503507_431768a927.jpg,"a white flower with yellow center, a type of daisy"
daisy\16819071290_471d99e166_m.jpg,"a bunch of white flowers, a type of daisy"
daisy\16833748795_b681b2839f_n.jpg,"a white flower in the grass, a type of daisy"
daisy\17027891179_3edc08f4f6.jpg,"a close up of a white flower with yellow center, a type of daisy"
daisy\17101762155_2577a28395.jpg,"a small plant growing in a stone path, a type of daisy"
daisy\17249393016_093e915012_n.jpg,"a flower with a yellow center, a type of daisy"
daisy\17357636476_1953c07aa4_n.jpg,"a bunch of purple flowers in a garden, a type of daisy"
daisy\18023717391_e2c9089e10.jpg,"a bunch of white flowers, a type of daisy"
daisy\18195689904_46619b7e16_n.jpg,"a white flower with yellow center, a type of daisy"
daisy\18203367608_07a04e98a4_n.jpg,"a small white flower in the middle of a field, a type of daisy"
daisy\18354545086_693ea7bc2a.jpg,"a bee on a flower, a type of daisy"
daisy\18400014056_2e4c601ed5.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\18442919723_d1251d3e14_n.jpg,"a bee on a flower, a type of daisy"
daisy\18474740346_ffdaa18032.jpg,"a pot of flowers, a type of daisy"
daisy\18582579815_4c6637e9ff_m.jpg,"a field of white flowers, a type of daisy"
daisy\18622672908_eab6dc9140_n.jpg,"a field of daies, a type of daisy"
daisy\18635898912_eb8e058ef0.jpg,"a bunch of flowers, a type of daisy"
daisy\18679421522_3be9879e32.jpg,"a little girl holding a flower in her hands, a type of daisy"
daisy\18684594849_7dd3634f5e_n.jpg,"a small white flower with yellow centers, a type of daisy"
daisy\18711159980_11d3bd5042.jpg,"a white flower with yellow center, a type of daisy"
daisy\18901817451_43e2b45f6c.jpg,"a white flower with yellow center, a type of daisy"
daisy\19019544592_b64469bf84_n.jpg,"a bunch of daies, a type of daisy"
daisy\19177263840_6a316ea639.jpg,"a white daisy flower with yellow centers, a type of daisy"
daisy\19178753159_a471bf4b6b.jpg,"a white flower with yellow center, a type of daisy"
daisy\19280272025_57de24e940_m.jpg,"a white flower with water droplets on it, a type of daisy"
daisy\19544831049_0d738d4872_m.jpg,"a white flower with yellow center, a type of daisy"
daisy\19653086178_28156b7ce4_m.jpg,"a field of flowers, a type of daisy"
daisy\19813618946_93818db7aa_m.jpg,"a white flower with yellow center, a type of daisy"
daisy\19834392829_7d697871f6.jpg,"a white flower with yellow center, a type of daisy"
daisy\19865728236_a62f8f445b_n.jpg,"a single blue flower in a field, a type of daisy"
daisy\19975899671_ebc42b7865_n.jpg,"a butterfly on a flower, a type of daisy"
daisy\20182559506_40a112f762.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\20289938802_e16fa9f23d.jpg,"a bunch of white flowers with yellow centers, a type of daisy"
daisy\20329326505_a777c71cc2.jpg,"a bee on a flower, a type of daisy"
daisy\20580471306_ab5a011b15_n.jpg,"a picture of a bug on a flower, a type of daisy"
daisy\20619292635_9857a12d54.jpg,"a bunch of white flowers, a type of daisy"
daisy\20685027271_0e7306e7c1_n.jpg,"white dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\20703737132_179560d0fb.jpg,"a field of white flowers, a type of daisy"
daisy\20773528301_008fcbc5a1_n.jpg,"white and yellow daies by mari stach for stocksy on 500px, a type of daisy"
daisy\20948886919_cac7844f34_n.jpg,"a lady bug on a flower, a type of daisy"
daisy\21402054779_759366efb0_n.jpg,"a bee on a flower, a type of daisy"
daisy\21626652132_97e1318bb8_m.jpg,"white dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\21805938544_bf6bb0e4bc.jpg,"a bunch of pink flowers, a type of daisy"
daisy\22244161124_53e457bb66_n.jpg,"a bunch of flowers, a type of daisy"
daisy\22873310415_3a5674ec10_m.jpg,"a bunch of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\23095658544_7226386954_n.jpg,"a fly on a flower, a type of daisy"
daisy\2481823240_eab0d86921.jpg,"a bum is sitting on a flower, a type of daisy"
daisy\2482982436_a2145359e0_n.jpg,"a flower with a white background and a black background, a type of daisy"
daisy\2488902131_3417698611_n.jpg,"a bunch of white flowers, a type of daisy"
daisy\2498632196_e47a472d5a.jpg,"a white flower, a type of daisy"
daisy\2509545845_99e79cb8a2_n.jpg,"a pink flower with a green center, a type of daisy"
daisy\2511306240_9047015f2d_n.jpg,"a bunch of daies, a type of daisy"
daisy\2513618768_ff7c004796_m.jpg,"a white flower with yellow center, a type of daisy"
daisy\2514748602_343d4727c0_n.jpg,"a bunch of daies with water droplets on them, a type of daisy"
daisy\2520369272_1dcdb5a892_m.jpg,"a pink flower with a green center, a type of daisy"
daisy\2521408074_e6f86daf21_n.jpg,"a white flower with a yellow center, a type of daisy"
daisy\2536529152_33ef3ee078_n.jpg,"a bunch of flowers, a type of daisy"
daisy\2538504987_fe524b92a8_n.jpg,"a white flower in the grass, a type of daisy"
daisy\2539552964_921cf645ba_n.jpg,"a person holding a flower in their hands, a type of daisy"
daisy\2551708158_1f10e81e11.jpg,"a flower in the sand, a type of daisy"
daisy\2556503265_63ae6b9e0e_m.jpg,"a white sign with a flower on it, a type of daisy"
daisy\2561352120_7961d8263f.jpg,"a close up of a flower with water droplets, a type of daisy"
daisy\2561371688_c80a4fe957_n.jpg,"a close up of a flower with a green background, a type of daisy"
daisy\2567033807_8e918c53d8_n.jpg,"a bee on a white flower, a type of daisy"
daisy\2573240560_ff7ffdd449.jpg,"a white flower with a yellow center, a type of daisy"
daisy\2578695910_5ab8ee17c1_n.jpg,"a white flower with yellow centers, a type of daisy"
daisy\2579018590_74359dcf1a_m.jpg,"a white flower, a type of daisy"
daisy\2581171297_b0a249b92b_n.jpg,"a white flower in a field with blue sky, a type of daisy"
daisy\2590291468_2635d3e4e0_n.jpg,"a flower in a vase, a type of daisy"
daisy\2599662355_7782218c83.jpg,"a white flower, a type of daisy"
daisy\2607132536_d95198e619_n.jpg,"a field of flowers, a type of daisy"
daisy\2611119198_9d46b94392.jpg,"a bee on a flower, a type of daisy"
daisy\2612704455_efce1c2144_m.jpg,"a white flower in a pot, a type of daisy"
daisy\2617111535_54c2ac8462.jpg,"a field of flowers, a type of daisy"
daisy\2619413565_61a6cd3ac9_m.jpg,"a bunch of white flowers, a type of daisy"
daisy\2621723097_736febb4a4_n.jpg,"a couple of white flowers sitting in the grass, a type of daisy"
daisy\2627815904_919373e7f5.jpg,"white flowers in the garden, a type of daisy"
daisy\2632216904_274aa17433.jpg,"three white flowers, a type of daisy"
daisy\2635314490_e12d3b0f36_m.jpg,"a spider on a flower, a type of daisy"
daisy\2641151167_3bf1349606_m.jpg,"a bee on a flower, a type of daisy"
daisy\2641979584_2b21c3fe29_m.jpg,"a bee on a flower, a type of daisy"
daisy\2642408410_61545fdc83_n.jpg,"a white flower with yellow center, a type of daisy"
daisy\2646438199_b309cffd65_n.jpg,"a flower in a vase with a butterfly on it, a type of daisy"
daisy\2649404904_b7a91991bb_n.jpg,"a couple of white flowers, a type of daisy"
daisy\2666572212_2caca8de9f_n.jpg,"a bunch of flowers, a type of daisy"
daisy\2713919471_301fcc941f.jpg,"a white flower with a yellow center, a type of daisy"
daisy\2812442552_3eed5fb9f2_m.jpg,"a picture of a bunch of purple flowers, a type of daisy"
daisy\2828733818_1c1ed0089d_n.jpg,"a white flower with a bee on it, a type of daisy"
daisy\2838487505_6c3b48efa5_m.jpg,"a small white flower, a type of daisy"
daisy\2862944799_45bc8e7302.jpg,"a field of white flowers, a type of daisy"
daisy\2877860110_a842f8b14a_m.jpg,"a white daisy with yellow center, a type of daisy"
daisy\2889325612_f2fc403ff0_m.jpg,"a chair with a stuffed animal on it, a type of daisy"
daisy\2901376034_cdb4bac26b_m.jpg,"a bunch of pink flowers, a type of daisy"
daisy\2908212142_5437fa67ff_n.jpg,"a single flower in the middle of a blue sky, a type of daisy"
daisy\3025866885_22fb0b61c6_n.jpg,"a bunch of flowers in a field with a quote, a type of daisy"
daisy\3080880039_4f1bd592e5_n.jpg,"a white flower with yellow center, a type of daisy"
daisy\3084924076_4d5c5711af_m.jpg,"a black and white flower with a quote, a type of daisy"
daisy\3098641292_76c908ba1f_n.jpg,"a bee on a flower, a type of daisy"
daisy\3117644024_1cbb59a509_n.jpg,"a flower with water droplets on it, a type of daisy"
daisy\3275951182_d27921af97_n.jpg,"a white flower with a yellow center, a type of daisy"
daisy\3285641623_da0e47f49a.jpg,"a bee on a flower, a type of daisy"
daisy\3310644753_5607eb96a4_m.jpg,"a white flower with yellow center, a type of daisy"
daisy\3326037909_b5ae370722_n.jpg,"a white flower with yellow center, a type of daisy"
daisy\3336704121_cfeb67a7d7.jpg,"a bunch of daies, a type of daisy"
daisy\3337536080_1db19964fe.jpg,"a field of white and yellow flowers, a type of daisy"
daisy\3337643329_accc9b5426.jpg,"a bee on a flower, a type of daisy"
daisy\3338077096_3a8ed0e2bc_m.jpg,"a white flower in a pot, a type of daisy"
daisy\3356112863_75da8bca2c_m.jpg,"a group of white flowers, a type of daisy"
daisy\3379332157_04724f6480.jpg,"a white flower in the grass, a type of daisy"
daisy\3386988684_bc5a66005e.jpg,"three flowers in a vase, a type of daisy"
daisy\3410906335_37e8a24b1c_n.jpg,"a flower with a yellow center, a type of daisy"
daisy\3415180846_d7b5cced14_m.jpg,"a vase with flowers, a type of daisy"
daisy\3440366251_5b9bdf27c9_m.jpg,"a white flower with a yellow center, a type of daisy"
daisy\3445110406_0c1616d2e3_n.jpg,"a dog laying in the grass with a flower in its mouth, a type of daisy"
daisy\3450822975_7e77d67636_n.jpg,"a bunch of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\3456403987_5bd5fa6ece_n.jpg,"a white flower in the grass, a type of daisy"
daisy\3463313493_9497aa47e5_n.jpg,"a bunch of flowers, a type of daisy"
daisy\3468498624_d082f99e98.jpg,"two white flowers, a type of daisy"
daisy\3474942718_c418dae6f1.jpg,"a bunch of flowers, a type of daisy"
daisy\3475870145_685a19116d.jpg,"a field of flowers, a type of daisy"
daisy\3483303007_42e3f90da7.jpg,"a black and white photo of flowers in pots, a type of daisy"
daisy\3491933306_43cfe2cfbe.jpg,"a white flower in the grass, a type of daisy"
daisy\3494265422_9dba8f2191_n.jpg,"a black and white cat sitting in a field of flowers, a type of daisy"
daisy\3504430338_77d6a7fab4_n.jpg,"a field of white flowers with a blue sky in the background, a type of daisy"
daisy\3506866918_61dd5fc53b_n.jpg,"a bunch of white flowers, a type of daisy"
daisy\3533954656_79156c8473.jpg,"a white flower with yellow center, a type of daisy"
daisy\3546455114_cd2dea5e02.jpg,"a field of flowers, a type of daisy"
daisy\3552074420_2a0a7166db_m.jpg,"a butterfly on a flower, a type of daisy"
daisy\3588872598_e0f9a1d2a1_m.jpg,"a field of green grass, a type of daisy"
daisy\3598615130_578ed30e5f.jpg,"a fly on a flower, a type of daisy"
daisy\3611577717_f3a7a8c416_n.jpg,"a bunch of flowers, a type of daisy"
daisy\3625257860_33efeef614_m.jpg,"a white flower with a yellow center, a type of daisy"
daisy\3627678863_557552c879_m.jpg,"a person holding a flower in their hand, a type of daisy"
daisy\3628485766_4ff937954a_n.jpg,"a person holding a flower in their hands, a type of daisy"
daisy\3633489595_a037a9b7a4_m.jpg,"a single white flower, a type of daisy"
daisy\3637428148_a1dcccafa9_n.jpg,"a bunch of flowers, a type of daisy"
daisy\3639009391_0f910681b7.jpg,"a flower in a field, a type of daisy"
daisy\3640845041_80a92c4205_n.jpg,"a white flower with yellow centers, a type of daisy"
daisy\3661613900_b15ca1d35d_m.jpg,"a bunch of white flowers, a type of daisy"
daisy\3695826945_9f374e8a00_m.jpg,"a field of daies, a type of daisy"
daisy\3699235066_fc09a02dfe_m.jpg,"a flower in the grass, a type of daisy"
daisy\3703643767_dee82cdef9_n.jpg,"a white flower with water droplets on it, a type of daisy"
daisy\3704305945_a80e60e2f6_m.jpg,"a field of flowers, a type of daisy"
daisy\3704306975_75b74497d8.jpg,"a field of flowers, a type of daisy"
daisy\3706420943_66f3214862_n.jpg,"a pink flower with water droplets on it, a type of daisy"
daisy\3711723108_65247a3170.jpg,"a white flower with yellow center, a type of daisy"
daisy\3711892138_b8c953fdc1_z.jpg,"a field of flowers, a type of daisy"
daisy\3713290261_8a66de23ab.jpg,"a bunch of white flowers, a type of daisy"
daisy\3717746329_53f515c6a6_m.jpg,"a white flower with a blue sky in the background, a type of daisy"
daisy\3720632920_93cf1cc7f3_m.jpg,"a white daisy with water droplets on it, a type of daisy"
daisy\3750250718_eb61146c5f.jpg,"white flowers in a field, a type of daisy"
daisy\3750771898_cfd50090ba_n.jpg,"a white flower with a yellow center, a type of daisy"
daisy\3758221664_b19116d61f.jpg,"a white flower, a type of daisy"
daisy\3764116502_f394428ee0_n.jpg,"a bunch of white flowers, a type of daisy"
daisy\3773181799_5def396456.jpg,"a close up of a flower with a blury background, a type of daisy"
daisy\3780380240_ef9ec1b737_m.jpg,"a white flower in a field of green, a type of daisy"
daisy\3848258315_ed2fde4fb4.jpg,"a fly on a leaf, a type of daisy"
daisy\3861452393_14d2f95157_m.jpg,"a bunch of white flowers, a type of daisy"
daisy\3900172983_9312fdf39c_n.jpg,"a white flower with a black background, a type of daisy"
daisy\3939135368_0af5c4982a_n.jpg,"a bee on a flower, a type of daisy"
daisy\3957488431_52a447c0e8_m.jpg,"a single flower in a field of red flowers, a type of daisy"
daisy\3962240986_0661edc43a_n.jpg,"a picture of a flower with a sky background, a type of daisy"
daisy\3963330924_6c6a3fa7be_n.jpg,"a bunch of white flowers, a type of daisy"
daisy\3975010332_3209f9f447_m.jpg,"a small white flower, a type of daisy"
daisy\3999978867_c67c79597f_m.jpg,"a close up of a flower with a blury background, a type of daisy"
daisy\4065883015_4bb6010cb7_n.jpg,"a field of grass, a type of daisy"
daisy\4085794721_7cd88e0a6c_m.jpg,"a drop of water on a branch with a flower in the background, a type of daisy"
daisy\4117918318_3c8935289b_m.jpg,"a white flower with a yellow center, a type of daisy"
daisy\4131565290_0585c4dd5a_n.jpg,"a close up of a flower with water droplets, a type of daisy"
daisy\4141147800_813f660b47.jpg,"white flowers in the fore, a type of daisy"
daisy\4144275653_7c02d47d9b.jpg,"a flower with a tiny white flower head, a type of daisy"
daisy\4222584034_8964cbd3de.jpg,"a bunch of white flowers, a type of daisy"
daisy\4229503616_9b8a42123c_n.jpg,"a couple of white flowers, a type of daisy"
daisy\4258408909_b7cc92741c_m.jpg,"a black and white photo of a flower, a type of daisy"
daisy\4268817944_cdbdb226ae.jpg,"a bee on a flower, a type of daisy"
daisy\4276898893_609d11db8b.jpg,"a white flower with water droplets on it, a type of daisy"
daisy\4278442064_a5a598524b_m.jpg,"a flower in the fore of a picture, a type of daisy"
daisy\4281102584_c548a69b81_m.jpg,"a white flower with yellow center, a type of daisy"
daisy\4286053334_a75541f20b_m.jpg,"a close up of a flower with water droplets, a type of daisy"
daisy\4301689054_20519e5b68.jpg,"a close up of a plant with water droplets, a type of daisy"
daisy\4318007511_e9f4311936_n.jpg,"a table with a white table cloth, a type of daisy"
daisy\4333085242_bbeb3e2841_m.jpg,"a small white flower in the grass, a type of daisy"
daisy\4407065098_ef25f1ccac_n.jpg,"a small flower with water droplets on it, a type of daisy"
daisy\4413849849_b8d2f3bcf1_n.jpg,"a flower with water droplets on it, a type of daisy"
daisy\4432271543_01c56ca3a9.jpg,"a flower with a brown center, a type of daisy"
daisy\4434592930_6610d51fca_m.jpg,"a white flower, a type of daisy"
daisy\4440480869_632ce6aff3_n.jpg,"a small white flower sitting on a wooden bench, a type of daisy"
daisy\4482623536_b9fb5ae41f_n.jpg,"a close up of a flower with a blue sky in the background, a type of daisy"
daisy\4496202781_1d8e776ff5_n.jpg,"a white flower with yellow center, a type of daisy"
daisy\4511693548_20f9bd2b9c_m.jpg,"a bee on a flower, a type of daisy"
daisy\4534460263_8e9611db3c_n.jpg,"a field of flowers, a type of daisy"
daisy\4538877108_3c793f7987_m.jpg,"a field of flowers, a type of daisy"
daisy\4540555191_3254dc4608_n.jpg,"a clock with a clock face on it, a type of daisy"
daisy\4544110929_a7de65d65f_n.jpg,"a fly on a flower, a type of daisy"
daisy\4561871220_47f420ca59_m.jpg,"black and white photograph of two flowers, a type of daisy"
daisy\4563059851_45a9d21a75.jpg,"a field of flowers, a type of daisy"
daisy\4565255237_9ba29c4d4e_n.jpg,"a flower with a rainbow in the background, a type of daisy"
daisy\4581199679_867652c3f1_n.jpg,"a flower with a blur of light in the background, a type of daisy"
daisy\4598422221_b37313a3e3_n.jpg,"a bunch of white flowers sitting on top of a green field, a type of daisy"
daisy\4610018126_21f438d2dc_m.jpg,"a bee on a flower, a type of daisy"
daisy\4613992315_143ccc2a10_m.jpg,"a bunch of white flowers, a type of daisy"
daisy\4646886118_b5c5ceaf6d_n.jpg,"a vase filled with yellow flowers on a table, a type of daisy"
daisy\4654579740_6671a53627_m.jpg,"a field of dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\4657354814_f368762c53_m.jpg,"a white flower with yellow center, a type of daisy"
daisy\4666648087_b10f376f19.jpg,"a bunch of flowers, a type of daisy"
daisy\4668543441_79040ca329_n.jpg,"a bunch of daies, a type of daisy"
daisy\4669117051_ce61e91b76.jpg,"a field of grass, a type of daisy"
daisy\4683997791_56e7d3c03c_n.jpg,"a field of daies with a blue sky in the background, a type of daisy"
daisy\4694730335_2553e77aa5_z.jpg,"a bunch of white flowers with yellow centers, a type of daisy"
daisy\4694734757_5c563d38dd_n.jpg,"a field of daies, a type of daisy"
daisy\4697206799_19dd2a3193_m.jpg,"a person holding a flower in their hand, a type of daisy"
daisy\4724713781_d169f98a35.jpg,"a white flower with a yellow center, a type of daisy"
daisy\4727955343_0bb23ac4ae.jpg,"a bee on a flower, a type of daisy"
daisy\4746633946_23933c0810.jpg,"a black and white photo of a flower, a type of daisy"
daisy\4753134939_8e87649db6.jpg,"white daie dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai dai, a type of daisy"
daisy\4757448834_a29a9538c9_n.jpg,"a field of flowers, a type of daisy"
daisy\4792826628_aa5e5a9804_n.jpg,"a field of flowers, a type of daisy"
daisy\4814515275_6e25a6c18f.jpg,"a bunch of white flowers with yellow centers, a type of daisy"
daisy\4820415253_15bc3b6833_n.jpg,"a black and white photo of a flower, a type of daisy"
daisy\4837182901_69a6cc782b_n.jpg,"a couple of white flowers in a field, a type of daisy"
daisy\4851353993_2cbbbd1040_n.jpg,"a white flower, a type of daisy"
daisy\4858518329_7563eb0baa_m.jpg,"a patch of dirt, a type of daisy"
daisy\4861391074_c3e122dab0_m.jpg,"a vase of flowers on a wooden table, a type of daisy"
